index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
336,12681,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
337,12682,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
338,12683,circulant,16,48,6,6,True,3,3,True,1.0,1.3125,4.0,True,True
339,12684,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
340,12685,erdos_renyi,12,49,5,10,True,2,2,True,1.0,1.8333,4.0,True,True
341,12686,hypercube,16,35,4,5,True,4,4,True,1.0,1.5,4.0,True,True
342,12687,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
343,12688,complete,7,21,6,6,True,1,1,True,1.0,1.0,4.0,True,True
344,12689,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
345,12690,circulant,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
346,12691,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
347,12692,erdos_renyi,16,87,6,14,True,2,2,True,1.0,1.875,4.0,True,True
348,12693,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
349,12694,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
350,12695,complete,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
351,12696,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
352,12697,circulant,9,27,6,6,True,2,2,True,1.0,1.5556,4.0,True,True
353,12698,random_regular,15,30,4,4,True,4,4,True,1.0,1.3333,4.0,True,True
354,12699,erdos_renyi,15,80,8,14,True,1,1,True,1.0,1.0,4.0,True,True
355,12700,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
356,12701,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
357,12702,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
358,12703,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
359,12704,circulant,16,80,10,10,True,2,2,True,1.0,1.375,4.0,True,True
360,12705,random_regular,15,45,6,6,True,3,3,True,1.0,1.4,4.0,True,True
361,12706,erdos_renyi,10,23,3,6,True,2,2,True,1.0,1.4,4.0,True,True
362,12707,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
363,12708,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
364,12709,complete,13,78,12,12,True,1,1,True,1.0,1.0,4.0,True,True
365,12710,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
366,12711,circulant,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
367,12712,random_regular,10,20,4,4,True,2,2,True,1.0,1.0,4.0,True,True
368,12713,erdos_renyi,11,36,5,10,True,1,1,True,1.0,1.0,4.0,True,True
