index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
4909,5909,perfect_code_perturbed,9,18,4,4,2,2,True,1.0,1.1111,4.0,True,True
4910,5910,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
4911,5911,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
4912,5912,random_regular,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4913,5913,random_dense,14,55,4,13,1,1,True,1.0,1.0,4.0,True,True
4914,5914,greedy_trap,12,12,1,3,4,4,True,1.0,1.3333,4.0,True,True
4915,5915,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
4916,5916,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4917,5917,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4918,5918,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
4919,5919,random_regular,12,18,3,3,4,4,True,1.0,1.3333,4.0,True,True
4920,5920,random_dense,10,22,3,8,2,2,True,1.0,1.8,4.0,True,True
4921,5921,greedy_trap,16,17,1,4,4,4,True,1.0,1.25,4.0,True,True
4922,5922,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
4923,5923,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4924,5924,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
4925,5925,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
4926,5926,random_regular,14,35,5,5,3,3,True,1.0,1.2857,4.0,True,True
4927,5927,random_dense,14,34,2,8,3,3,True,1.0,1.9286,4.0,True,True
4928,5928,greedy_trap,9,12,2,4,2,2,True,1.0,1.1111,4.0,True,True
4929,5929,geometric_setcover,15,18,1,5,3,3,True,1.0,1.2,4.0,True,True
4930,5930,perfect_code_perturbed,16,34,4,6,4,4,True,1.0,1.75,4.0,True,True
4931,5931,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
4932,5932,cocktail_multipartite,6,8,2,4,2,2,True,1.0,1.6667,4.0,True,True
4933,5933,random_regular,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4934,5934,random_dense,16,44,1,10,3,3,True,1.0,2.0625,4.0,True,True
4935,5935,greedy_trap,10,12,1,4,2,2,True,1.0,1.0,4.0,True,True
4936,5936,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
4937,5937,perfect_code_perturbed,11,24,4,6,3,3,True,1.0,1.9091,4.0,True,True
4938,5938,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
4939,5939,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
4940,5940,random_regular,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4941,5941,random_dense,10,33,4,9,1,1,True,1.0,1.0,4.0,True,True
4942,5942,greedy_trap,9,11,1,4,2,2,True,1.0,1.1111,4.0,True,True
4943,5943,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4944,5944,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4945,5945,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
